CourseID,CourseName,Credits,Type,Semester,elective
LRA401,Japanese Language (1),1,Lecture,1,
LRA403,Japanese Language (3),1,Lecture,3,
LRA101,Japanese Culture,2,Lecture,1,
LRA104,Music and Technology,2,Lecture,1,LRA105
LRA105,Theater and Drama,2,Lecture,1,LRA104
LRA306,Natural Resources and Sustainability,2,Lecture,3,
MTH111,Mathematics (1) ( Calculus + Linear Algebra),3,Lecture,1,
MTH212,Probability and Statistics,3,Lecture,3,
PHY113,Physics 1,3,Lecture,1,
ACM215,Ordinary Differential Equations,3,Lecture,3,
AID323,Parallel & Distributed Computing,3,Lecture,7,
AID311,Mathematics of Data Science,3,Lecture,5,CSC314
AID321,Machine Learning,3,Lecture,7,
AID411,BIG Data Analytics & Visualization,3,Lecture,7,
AID413,Data Security,3,Lecture,7,
AID328,Game Theory,3,Lecture,7,
AID427,New Trends in Data Science,3,Lecture,7,
AID428,New Trends in AI,3,Lecture,7,
AID417,Advanced Data Mining,3,Lecture,7,
AID414,Graduation Project (1),2,Lab,7,
CSC111,Fundamentals of Programming,3,Lecture,1,
CSC211,Software Engineering,3,Lecture,3,
AID312,Intelligent Systems,3,Lecture,5,
CNC311,Computer Networks,3,Lecture,5,
CNC314,Database Systems,3,Lecture,5,
ECE111,Digital Logic Design,3,Lecture,1,
CSE214,Computer Organization,3,Lecture,3,
CNC111,Networks and Web Programming,3,Lecture,3,CSC114
CSC114,Algorithms Analysis and Design,3,Lecture,3,CNC111
CSE423,Computer Graphics and Visualization,3,Lecture,5,ECE214
CSC314,Software modeling and Analysis,3,Lecture,5,AID311
ECE214,Digital Signal Processing,3,Lecture,5,CSE423
MTH111,Mathematics (1) ( Calculus + Linear Algebra) Lab,3,Lab,1,
MTH212,Probability and Statistics Lab,3,Lab,3,
PHY113,Physics 1 Lab,3,Lab,1,
ACM215,Ordinary Differential Equations Lab,3,Lab,3,
AID323,Parallel & Distributed Computing Lab,3,Lab,7,
AID311,Mathematics of Data Science Lab,3,Lab,5,CSC314
AID321,Machine Learning Lab,3,Lab,7,
AID411,BIG Data Analytics & Visualization Lab,3,Lab,7,
AID413,Data Security Lab,3,Lab,7,
AID328,Game Theory Lab,3,Lab,7,
AID427,New Trends in Data Science Lab,3,Lab,7,
AID428,New Trends in AI Lab,3,Lab,7,
AID417,Advanced Data Mining Lab,3,Lab,7,
CSC111,Fundamentals of Programming Lab,3,Lab,1,
CSC211,Software Engineering Lab,3,Lab,3,
AID312,Intelligent Systems Lab,3,Lab,5,
CNC311,Computer Networks Lab,3,Lab,5,
CNC314,Database Systems Lab,3,Lab,5,
ECE111,Digital Logic Design Lab,3,Lab,1,
CSE214,Computer Organization Lab,3,Lab,3,
CNC111,Networks and Web Programming Lab,3,Lab,5,CSC114
CSC114,Algorithms Analysis and Design Lab,3,Lab,3,CNC111
CSE423,Computer Graphics and Visualization Lab,3,Lab,5,ECE214
CSC314,Software modeling and Analysis Lab,3,Lab,5,AID311
ECE214,Digital Signal Processing Lab,3,Lab,5,CSE423
