CourseID,CourseName,Credits,Type,Semester,Elective
ENG101,Engineering Mathematics (1),3,Lecture,1,
ENG102,Introduction to Engineering,2,Lecture,1,
ENG103,Engineering Drawing,2,Lecture,1,
ENG104,Physics for Engineers,3,Lecture,1,
ENG105,Chemistry for Engineers,2,Lecture,1,
ENG201,Engineering Mathematics (2),3,Lecture,3,
ENG202,Mechanics (Statics),3,Lecture,3,
ENG203,Circuits (1),3,Lecture,3,
ENG204,Materials Science,3,Lecture,3,
ENG301,Mechanics (Dynamics),3,Lecture,5,
ENG302,Fluid Mechanics,3,Lecture,5,
ENG303,Electronics (1),3,Lecture,5,
ENG304,Thermodynamics,3,Lecture,5,
ENG401,Control Systems,3,Lecture,7,
ENG402,Power Systems,3,Lecture,7,
ENG403,Machine Design,3,Lecture,7,
ENG404,Embedded Systems,3,Lecture,7,
ENG405,Graduation Project (1),2,Lab,7,
ENG101,Engineering Mathematics (1) Lab,1,Lab,1,
ENG103,Engineering Drawing Lab,1,Lab,1,
ENG104,Physics for Engineers Lab,1,Lab,1,
ENG105,Chemistry for Engineers Lab,1,Lab,1,
ENG201,Engineering Mathematics (2) Lab,1,Lab,3,
ENG203,Circuits (1) Lab,1,Lab,3,
ENG301,Mechanics (Dynamics) Lab,1,Lab,5,
ENG302,Fluid Mechanics Lab,1,Lab,5,
ENG303,Electronics (1) Lab,1,Lab,5,
ENG404,Embedded Systems Lab,1,Lab,7,
ENG405,Graduation Project (1) Lab,1,Lab,7,
