RoomID,Type,Capacity
R101,Lecture,80
R102,Lecture,80
R103,Lecture,80
R104,Lecture,80
R105,Lecture,80
R106,Lecture,80
R107,Lecture,80
R108,Lecture,80
R109,Lecture,80
R110,Lecture,80
R111,Lecture,80
R112,Lecture,80
R113,Lecture,80
R114,Lecture,80
L1,Lab,35
L2,Lab,35
L3,Lab,35
L4,Lab,35
L5,Lab,35
L6,Lab,35
L7,Lab,35
L8,Lab,35
L9,Lab,35
L10,Lab,35
L11,Lab,35
L12,Lab,35
L13,Lab,35
L14,Lab,35
L15,Lab,35
L16,Lab,35
L17,Lab,35
L18,Lab,35
L19,Lab,35
L20,Lab,35
L21,Lab,35
L22,Lab,35
L23,Lab,35
L24,Lab,35
L25,Lab,35
L26,Lab,35
L27,Lab,35
L28,Lab,35
L29,Lab,35
L30,Lab,35
L31,Lab,35
L32,Lab,35
L33,Lab,35
L34,Lab,35
L35,Lab,35
L36,Lab,35
L37,Lab,35
L38,Lab,35
L39,Lab,35
L40,Lab,35
L41,Lab,35
L42,Lab,35
