SectionID,StudentCount,Courses,GroupName,Semester
Y1G1S1,25,"ENG101,ENG102,ENG103,ENG104,ENG105",Y1G1,1
Y1G1S2,25,"ENG101,ENG102,ENG103,ENG104,ENG105",Y1G1,1
Y1G2S3,25,"ENG101,ENG102,ENG103,ENG104,ENG105",Y1G2,1
Y1G2S4,25,"ENG101,ENG102,ENG103,ENG104,ENG105",Y1G2,1
Y2G1S1,25,"ENG201,ENG202,ENG203,ENG204",Y2G1,3
Y2G1S2,25,"ENG201,ENG202,ENG203,ENG204",Y2G1,3
Y2G2S3,25,"ENG201,ENG202,ENG203,ENG204",Y2G2,3
Y2G2S4,25,"ENG201,ENG202,ENG203,ENG204",Y2G2,3
Y3G1S1,25,"ENG301,ENG302,ENG303,ENG304",Y3G1,5
Y3G1S2,25,"ENG301,ENG302,ENG303,ENG304",Y3G1,5
Y3G2S3,25,"ENG301,ENG302,ENG303,ENG304",Y3G2,5
Y3G2S4,25,"ENG301,ENG302,ENG303,ENG304",Y3G2,5
Y4G1S1,25,"ENG401,ENG402,ENG403,ENG404,ENG405",Y4G1,7
Y4G1S2,25,"ENG401,ENG402,ENG403,ENG404,ENG405",Y4G1,7
Y4G2S3,25,"ENG401,ENG402,ENG403,ENG404,ENG405",Y4G2,7
Y4G2S4,25,"ENG401,ENG402,ENG403,ENG404,ENG405",Y4G2,7
