SectionID,StudentCount,Courses,Groupname,Semester
L1g1S1,20,"LRA401,LRA101,LRA104,PHY113,ECE111,MTH111,CSC111,LRA105",L1g1,1
L1g1S2,20,"LRA401,LRA101,LRA104,PHY113,ECE111,MTH111,CSC111,LRA105",L1g1,1
L1g1S3,20,"LRA401,LRA101,LRA104,PHY113,ECE111,MTH111,CSC111,LRA105",L1g1,1
L1g2S4,20,"LRA401,LRA101,LRA104,PHY113,ECE111,MTH111,CSC111,LRA105",L1g2,1
L1g2S5,20,"LRA401,LRA101,LRA104,PHY113,ECE111,MTH111,CSC111,LRA105",L1g2,1
L1g2S6,20,"LRA401,LRA101,LRA104,PHY113,ECE111,MTH111,CSC111,LRA105",L1g2,1
L1g3S7,20,"LRA401,LRA101,LRA104,PHY113,ECE111,MTH111,CSC111,LRA105",L1g3,1
L1g3S8,20,"LRA401,LRA101,LRA104,PHY113,ECE111,MTH111,CSC111,LRA105",L1g3,1
L1g3S9,20,"LRA401,LRA101,LRA104,PHY113,ECE111,MTH111,CSC111,LRA105",L1g3,1
L2g1S1,20,"ACM215,LRA403,CSC211,CNC111,MTH212,CSC114,LRA306,CSE214",L2g1,3
L2g1S2,20,"ACM215,LRA403,CSC211,CNC111,MTH212,CSC114,LRA306,CSE214",L2g1,3
L2g1S3,20,"ACM215,LRA403,CSC211,CNC111,MTH212,CSC114,LRA306,CSE214",L2g1,3
L2g2S4,20,"ACM215,LRA403,CSC211,CNC111,MTH212,CSC114,LRA306,CSE214",L2g2,3
L2g2S5,20,"ACM215,LRA403,CSC211,CNC111,MTH212,CSC114,LRA306,CSE214",L2g2,3
L2g2S6,20,"ACM215,LRA403,CSC211,CNC111,MTH212,CSC114,LRA306,CSE214",L2g2,3
L2g3S7,20,"ACM215,LRA403,CSC211,CNC111,MTH212,CSC114,LRA306,CSE214",L2g3,3
L2g3S8,20,"ACM215,LRA403,CSC211,CNC111,MTH212,CSC114,LRA306,CSE214",L2g3,3
L2g3S9,20,"ACM215,LRA403,CSC211,CNC111,MTH212,CSC114,LRA306,CSE214",L2g3,3
L3AIDS1,20,"AID312,CSE423,CNC311,AID311,CNC314,ECE214",L3AID,5
L3AIDS2,20,"AID312,CSE423,CNC311,AID311,CNC314,ECE214",L3AID,5
L3AIDS3,20,"AID312,CSE423,CNC311,AID311,CNC314,ECE214",L3AID,5
L3AIDS4,20,"AID312,CSE423,CNC311,AID311,CNC314,ECE214",L3AID,5
L3CNCS1,20,"AID312,CSE423,CNC311,CNC312,CNC314,ECE214",L3CNC,5
L3CNCS2,20,"AID312,CSE423,CNC311,CNC312,CNC314,ECE214",L3CNC,5
L3CNCS3,20,"AID312,CSE423,CNC311,CNC312,CNC314,ECE214",L3CNC,5
L3CNCS4,20,"AID312,CSE423,CNC311,CNC312,CNC314,ECE214",L3CNC,5
L3CSCS1,20,"AID312,CSE423,CNC311,CSC314,CNC314,ECE214",L3CSC,5
L3BIFS1,20,"AID312,CNC311,CNC314,BIO111,ECE214",L3BIF,5
L4AIDS1,20,"AID321,AID413,AID427,AID428,AID411,AID417,AID414",L4AID,7
L4AIDS2,20,"AID321,AID413,AID427,AID428,AID411,AID417,AID414",L4AID,7
L4AIDS3,20,"AID321,AID413,AID427,AID428,AID411,AID417,AID414",L4AID,7
L4AIDS4,20,"AID321,AID413,AID427,AID428,AID411,AID417,AID414",L4AID,7
L4CNCS1,20,"CNC413,CNC419,CNC418,CNC324,CNC415,AID414",L4CNC,7
L4CNCS2,20,"CNC413,CNC419,CNC418,CNC324,CNC415,AID414",L4CNC,7
L4CNCS3,20,"CNC413,CNC419,CNC418,CNC324,CNC415,AID414",L4CNC,7
L4CNCS4,20,"CNC413,CNC419,CNC418,CNC324,CNC415,AID414",L4CNC,7
L4CSCS1,20,"CSC414,CSC415,CSC426,CSC410,CSC412,AID414",L4CSC,7
L4BIFS1,20,"BIF413,AID414",L4BIF,7
