SectionID,Semester,StudentCount,Groupname
L1A1,1,25,L1A
L1A2,1,25,L1A
L1A3,1,25,L1A
L1B1,1,25,L1B
L1B2,1,25,L1B
L1B3,1,25,L1B
L1C1,1,25,L1C
L1C2,1,25,L1C
L1C3,1,25,L1C
L2A1,3,25,L2A
L2A2,3,25,L2A
L2A3,3,25,L2A
L2B1,3,25,L2B
L2B2,3,25,L2B
L2B3,3,25,L2B
L2C1,3,25,L2C
L2C2,3,25,L2C
L2C3,3,25,L2C
L3A1,5,25,L3A
L3A2,5,25,L3A
L3A3,5,25,L3A
L3B1,5,25,L3B
L3B2,5,25,L3B
L3B3,5,25,L3B
L3C1,5,25,L3C
L3C2,5,25,L3C
L3C3,5,25,L3C
L4A1,7,25,L4A
L4A2,7,25,L4A
L4A3,7,25,L4A
L4B1,7,25,L4B
L4B2,7,25,L4B
L4B3,7,25,L4B
L4C1,7,25,L4C
L4C2,7,25,L4C
L4C3,7,25,L4C
